 ,Job Nr,Date,Time,Theme,Post Copy,Link,Format,Final Creative,Deadlines,MSS Notes,Creative,Designer
"Facebook
Instagram
LinkedIn",20889,"Mon, 27 April",10:00,Freedom Day,"Freedom Day reminds us of the journey our nation has traveled to reach new heights. At UD Trucks Lichtenburg, we celebrate the freedom to innovate, build, and move South Africa forward—one road, one delivery, one journey at a time. Here’s to progress, opportunity, and keeping our country moving.

Happy Freedom Day!",https://lichtenburg.udsa.co.za/contact-us/,Static,"Celebrating Freedom Day by driving South Africa forward
One road, one load, one journey at a time","Wed, 15 April",,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MAY,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,COVER PAGES,,https://lichtenburg.udsa.co.za/contact-us/,Static,"Truck Sales
Juan Niemand 
juann@laubstar.co.za
076 936 5514

Truck Service
Quinton Van Niekerk
trailers@udltx.co.za
067 426 5504

Truck Parts
Koos Grobler 
koosg@laubstar.co.za
066 132 3112",,Facebook and LinkedIn Cover Page,,Quintin
"Facebook
Instagram
LinkedIn",,"Fri, 1 May",,Workers Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Quon,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,"Mon, 11 May",,Mother's Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Service,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
JUNE,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,Website,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,"Mon, 15 June",,Father's Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,"Tue, 16 June",,Youth Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Euro 5,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
JULY,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,AdBlue,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,"Sat, 18 July",,Mandela Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Medium Duty,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Parts,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
AUG,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,Kuzer,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,"Mon, 10 August",,Womens Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Service,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Connected Services,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
SEPT,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,Road Assistance,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Parts,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,"Thu, 24 September",,Heritage Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Range,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
OCT,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,Service,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Quester,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Website,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Services,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
NOV,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,Parts,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Service,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Range,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Road Support,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
DEC,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",,,,Operating Hours,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Connected Services,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Day of Reconciliation,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",,,,Holiday,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
COMPLETED,,,,,,,,,,,,
JAN - Informative,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",20529,"Thu, 1 January",8:00,New Year,"Happy New Year from UD Trucks Lichtenburg!

As we welcome a new year, we look forward to driving even greater progress alongside our customers, partners, and operators.
Thank you for trusting UD Trucks to keep your business moving — with reliability, strength, and solutions built for the long haul.

Here’s to 2026: a year of safer journeys, stronger fleets, and smart, efficient uptime.
Let’s keep moving the industry forward, together.

UD Trucks Lichtenburg
Going the Extra Mile in every kilometre you drive.",https://lichtenburg.udsa.co.za/contact-us/,Static,"Happy New Years

Here's to a year of safer journeys, stronger fleets, and smart, efficient uptime in 2026.","Wed, 3 December",,,Quintin
"Facebook
Instagram
LinkedIn",20529,"Tue, 6 January",10:00,Kuzer,"With smart fuel efficiency, easy manoeuvrability, and the reliability UD is known for, the Kuzer is the perfect partner for urban deliveries and everyday business demands.

Kuzer Specs:
https://lichtenburg.udsa.co.za/trucks/kuzer/specs/

#UDTrucks #UDKuzer #LightDutyTruck #Lichtenburg  #Trucks",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
Kuzer Logo,
UD LTX Logo,
Going the Extra mile Logo.
Kuzer image
Text: Light-Medium Duty","Mon, 8 December",,,Quintin
"Facebook
Instagram
LinkedIn",20529,"Wed, 7 January",10:00,Croner,"With strong payload capacity, smart fuel efficiency, and dependable uptime, the Croner keeps your business moving day after day.

Croner Specs:
https://lichtenburg.udsa.co.za/trucks/croner/specs/


#UDTrucks #Trucks #Lichtenburg #MediumDutyTrucks #UDCroner",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
Croner Logo,
UD LTX Logo,
Going the Extra mile Logo.
Croner image
Text: Medium Duty","Wed, 10 December",,,Quintin
"Facebook
Instagram
LinkedIn",20529,"Thu, 8 January",10:00,Quester,"Strong, efficient, and engineered for demanding workloads, the Quester delivers power, durability, and uptime you can rely on.

Quester Specs:
https://lichtenburg.udsa.co.za/trucks/quester/specs/

#UDTrucks #Quester #Lichtenburg #Trucks #HeavyDutyTrucks",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
Quester Logo,
UD LTX Logo,
Going the Extra mile Logo.
Quester image
Text: Heavy Duty",,,,Quintin
"Facebook
Instagram
LinkedIn",20529,"Fri, 9 January",10:00,Quon,"Designed for extra heavy-duty transport, the Quon delivers reliability, powerful performance, and long-haul stamina for your toughest missions.

Quon Specs:
https://lichtenburg.udsa.co.za/trucks/quon/specs/


#UDTrucks #Quon #Lichtenburg #Trucks #ExtraHeavyTrucks #HeavyTrucks",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
Quon Logo,
UD LTX Logo,
Going the Extra mile Logo.
Quon image
Text: Extra-Heavy Duty",,,,Quintin
"Facebook
Instagram
LinkedIn",20529,"Tue, 13 January",10:00,Book Service,"Start the new year with confidence — ensure your fleet is fully serviced and ready for the road ahead. Book your fleet service today and enjoy reliable uptime, expert care, and peak performance for every truck in your operation.

Book Here:
https://lichtenburg.udsa.co.za/book-a-service/

#UDTrucks #UDService #UDParts #Trucks #Lichtenburg",https://lichtenburg.udsa.co.za/contact-us/,Static,"2026 Service Booked?
Make a Booking Today!

Service Manager:
Quinton Van Niekerk 
trailers@udltx.co.za
Cell: 067 426 5504

lichtenburg.udsa.co.za/book-a-service/",,,,Quintin
"Facebook
Instagram
LinkedIn",20528,"Sun, 18 January",14:00,Baller Challange,"Join UD Trucks Lichtenburg at the #FarmSpace Baler Challenge!

We’re here to keep your operations running smoothly with expert support, reliable servicing, and tailored solutions for your trucks and trailers.

Visit our stand to meet the team and see how UD Trucks Lichtenburg helps farmers and fleets stay productive all season long.",https://lichtenburg.udsa.co.za/contact-us/,,,,,,
"Facebook
Instagram
LinkedIn",20528,"Mon, 19 January",15:00,SHARE: Baller Challange,"Gesels met ons span, kry wenke, en ervaar ons passie vir slim boerdery.

📍 Waar: FarmSpace Baler Challenge, Valtrac Parys
📅 Wanneer: 28 Januarie 2026 | 07:30 – 13:30

Kom vier boerdery saam met ons!

#FarmSpaceBalerChallenge #Laubstar #Boer",https://lichtenburg.udsa.co.za/contact-us/,,,,,"https://www.facebook.com/reel/1449228176874442

https://www.linkedin.com/posts/farmspacefs_balerchallenge2026-valtrac-parys-activity-7415335052391215105-4i7h?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADTOrKMB-wBJiGznhc65Aljt1nS-61q9670",
"Facebook
Instagram
LinkedIn",20529,"Tue, 20 January",10:00,Reytjie Message - Managing Director,"Thank you for choosing UD Trucks and for trusting our team to keep your operations moving.

Wishing you a safe, successful, and opportunity-filled year ahead.

More about UD Trucks Lichtenburg:
https://lichtenburg.udsa.co.za/

#UDTrucks #UD2026 #Lichtenburg #Trucks #DriveSafe #UDService #UDParts",https://lichtenburg.udsa.co.za/contact-us/,Vid,"As we enter 2026, I want to thank all our customers and partners for your continued support. This year, our focus remains on reliability, stronger service support, and keeping your fleets moving with confidence.

We look forward to delivering even better uptime, faster turnaround times, and value-driven solutions for your operations.

Wishing you a safe, successful, and productive year ahead.

Reytjie Laubcher
Managing Director
UD Trucks Lichtenburg","Wed, 14 January",,vid,Quintin
"Facebook
Instagram
LinkedIn",20528,"Thu, 22 January",10:00,Facebook SHARE: Baller Challange,"Stop by our stand and see how we keep your trucks, trailers, and fleet running strong.

Reliable, tough, and built for farmers who don’t slow down.
https://lichtenburg.udsa.co.za/contact-us/",https://lichtenburg.udsa.co.za/contact-us/,,,,,https://www.facebook.com/share/p/14XN8c43bWh/,
"Facebook
Instagram
LinkedIn",20528,"Fri, 23 January",8:00,Facebook SHARE: Baller Challange,"Kom kuier by ons stalletjie en ontdek hoe ons jou vragmotors, sleepwaens en diens reg kan hou.
Betroubaar. Sterk. Gereed om jou plaaswerk makliker te maak.",https://lichtenburg.udsa.co.za/contact-us/,,,,,https://www.facebook.com/share/v/17h3LrwVCT/,
"Facebook
Instagram
LinkedIn",20529,"Tue, 27 January",10:00,Operating Hours,"Our team is here to provide reliable service, expert support, and solutions that help your business stay productive and on the move all year long.

Visit UD Trucks Lichtenburg:
15 Maree St, Lichtenburg, 2740.

#UDTrucksLichtenburg #UDTrucks #UDService #UDParts #Trucks",https://lichtenburg.udsa.co.za/contact-us/,Static,"Operating Hours:
Mon-Thu: 07:00-17:00
Fri: 07:00-16:00
Sat-Sun: Parts and Service by appointment only

Afterhours:
Parts: 064 850 0559
Service: 079 492 1956","Mon, 12 January",,,Quintin
FEB - LOVE,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",20614,"Mon, 2 February",,COVER PAGES,,https://lichtenburg.udsa.co.za/contact-us/,Static,"Fall in love with our truck range
(UD family image)
lichtenburg.udsa.co.za/trucks/","Fri, 23 January",Facebook and LinkedIn Cover Page,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Tue, 3 February",10:00,Parts,"Don’t compromise on quality — order your parts today and keep your trucks running at their best.

Order Here:
https://lichtenburg.udsa.co.za/request-a-quote/

#UDParts #UDService #UDTrucks #Lichtenburg",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Genuine Parts

Order Here:
Parts Manger:
Koos Grobler 
koosg@laubstar.co.za
066 132 3112

lichtenburg.udsa.co.za/request-a-quote/","Tue, 27 January",,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Tue, 10 February",10:00,Kuzer,"One of the best features of the UD Kuzer is its outstanding fuel efficiency — thanks to a modern 3.8L engine, optimised gear ratios, and smart fuel‑coaching tech, it delivers more power per litre and lowers operating costs.

Kuzer Specs:
https://lichtenburg.udsa.co.za/trucks/kuzer/specs/

#Kuzer #UDTrucks #LightDutyTrucks #Lichtenburg",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
UD LTX Logo,

Kuzer image

What to love about the UD Kuzer?
Outstanding Fuel Efficiency","Fri, 30 January",,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Wed, 11 February",10:00,Croner,"With its durable high‑tensile steel chassis, reliable engines, and smart design, the UD Croner handles heavy loads with ease while maximizing uptime. Perfect for medium-duty operations, it delivers strength, efficiency, and confidence on every route.

Croner Specs:
https://lichtenburg.udsa.co.za/trucks/croner/specs/


#UDTrucks #Trucks #Lichtenburg #MediumDutyTrucks #UDCroner",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
UD LTX Logo,

Croner image

What to love about the UD Croner?
Its durable, high-tensile steer chassis frame.","Mon, 2 February",,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Thu, 12 February",10:00,Quester,"One of the best features of the UD Quester is its intelligent ESCOT automated manual transmission, which boosts fuel efficiency by making precise gear shifts based on driving conditions.
It’s paired with high‑torque, fuel‑efficient GH8E or GH11E engines, helping you reduce running costs without sacrificing power.

Quester Specs:
https://lichtenburg.udsa.co.za/trucks/quester/specs/

#UDTrucks #Quester #Lichtenburg #Trucks #HeavyDutyTrucks",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
UD LTX Logo,

Quester image

What to love about the UD Quester?
Its intelligent ESCOT automated manual transmission.","Wed, 4 February",,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Fri, 13 February",10:00,Quon,"It’s designed to deliver strong torque, low‑rev efficiency, and real-time fuel coaching for optimal economy.

Quon Specs:
https://lichtenburg.udsa.co.za/trucks/quon/specs/


#UDTrucks #Quon #Lichtenburg #Trucks #ExtraHeavyTrucks #HeavyTrucks",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
UD LTX Logo,

Quon image

What to love about the UD Quon?
Its powered by the GH11 engine and paired with the ESCOT‑VI automated transmission.","Fri, 6 February",,,Quintin
"Facebook
Instagram
LinkedIn",20612,"Fri, 13 February",13:00,Valentines Day images (dealers),,https://laubstar.co.za/contact-us/,Static,,,Share Laubstar Post,Images,
"Facebook
Instagram
LinkedIn",20614,"Sat, 14 February",10:00,Valentines Day,"One of the best features of the UD Trucks range is its ultimate dependability: across all models, UD emphasises high uptime, driven by smart maintenance intervals, robust engineering, and our “Extra Mile” support system.


Fall in love with our range:
https://lichtenburg.udsa.co.za/trucks/

#UDTrucks #UDService #UDParts #Trucks #Lichtenburg",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
UD LTX Logo,

UD Range image

What to love about UD Trucks?
Ultimate dependability","Mon, 9 February",,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Sat, 14 February",18:00,Valentines Day,,https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Mon, 17 February",10:00,Contact Us,"Save our contact information for all your service and parts needs. Our dedicated team is ready to assist you with expert support, genuine parts, and reliable solutions whenever you need them.

https://lichtenburg.udsa.co.za/contact-us/


#UDTrucks #UDParts #UDService #Lichtenburg #UD
",https://lichtenburg.udsa.co.za/contact-us/,Static,"Save Our Details

15 Maree St, Lichtenburg, 2740
Telephone:  (018) 632 0610 /2/3
Email: info@udltx.co.za

Service Manager:
Quinton Van Niekerk 
trailers@udltx.co.za
Cell: 067 426 5504
Standby:079 492 1956

Parts Manger:
Koos Grobler 
koosg@laubstar.co.za
066 132 3112
Standby: 064 850 0559","Wed, 11 February",,,Quintin
"Facebook
Instagram
LinkedIn",20614,"Tue, 24 February",10:00,Services,"Strong. Reliable. Ready for the Road.
UD Trucks Lichtenburg — Keeping Your Trucks Moving.

https://lichtenburg.udsa.co.za/contact-us/

#UDTrucks #UDParts #UDService #Lichtenburg #UD",https://lichtenburg.udsa.co.za/contact-us/,Static,"Our Services:

UD Trucks vehicle sales
UD Trucks genuine parts sales
Truck body sales (tippers, water tankers, livestock trucks)
Trailer sales
Trade‑back options
Fleet consultation and management solutions
UD Telematics solutions
Driver training programs
Truck servicing and repairs
Trailer servicing and repairs
Maintenance contracts for trucks and trailers
Component overhauls (engines, gearboxes, differentials)
Hydraulic products and services (hoses, pumps, PTOs)
Panel beating and collision repair
Auto electrical services
Boilermaker services (trailers)
Wheel alignment
24/7 breakdown support (trucks and trailers – mechanical, electrical, hydraulic)","Mon, 16 February",,,Quintin
MARCH ,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",20762,"Tue, 3 March",10:00,Euro 5,"UD Trucks Euro 5 Technology uses SCR (Selective Catalytic Reduction) with AdBlue to dramatically reduce harmful emissions like NOx and particulates. It improves fuel efficiency, engine performance, and uptime, while lowering total cost of ownership. Real-time fuel coaching helps drivers maximize efficiency, making Euro 5 trucks both environmentally friendly and business-ready.

Learn more:
https://lichtenburg.udsa.co.za/euro-5/

#UDTrucks #Quester #Croner #Euro5Tecnology #UDInnovation #GoingTheExtraMile",https://lichtenburg.udsa.co.za/contact-us/,Static,"UD Trucks Logo,
UD LTX Logo,
Going the Extra mile Logo.

UD Euro 5 image
Text: UD Trucks Euro 5 Technology
Medium - Heavy Duty Trucks","Mon, 23 February",,,Quintin
"Facebook
Instagram
LinkedIn",20762,"Thu, 12 March",10:00,Service,"Regular servicing ensures your trucks run at peak performance, stay reliable on the road, and reduce costly downtime. 

Trust our expert team to provide professional maintenance, genuine parts, and total care for every vehicle in your fleet.
https://lichtenburg.udsa.co.za/book-a-service/

#UDTrucks #UDService #UDParts #Lichtenburg",https://lichtenburg.udsa.co.za/contact-us/,Static,"Service your trucks

Service Manager:
Quinton Van Niekerk 
trailers@udltx.co.za
Cell: 067 426 5504

15 Maree St, Lichtenburg, 2740
Telephone:  (018) 632 0610 /2/3
Email: info@udltx.co.za","Fri, 6 March",,,Quintin
"Facebook
Instagram
LinkedIn",20762,"Mon, 16 March",15:00,Quon,"The future of sustainable transport.
Get a Quote Today
https://lichtenburg.udsa.co.za/contact-us/

#UDTrucks #Quon #FleetManagement #Uptime ",https://lichtenburg.udsa.co.za/contact-us/,Static,,,,vid 1,Quintin
"Facebook
Instagram
LinkedIn",20762,"Tue, 17 March",15:00,Quon,"The Quon's new features make it safer and more dependable for all.
Get a Quote Today
https://lichtenburg.udsa.co.za/contact-us/

#UDTrucks #Quon #Upgrades #Sustainable #UltimateDependability #FleetManagement",https://lichtenburg.udsa.co.za/contact-us/,Static,,,,vid 2,Quintin
"Facebook
Instagram
LinkedIn",20762,"Tue, 17 March",18:00,Meet The Team,"Visit UD Trucks Lichtenburg and speak to our expert sales representatives today. We’re ready to match you with the perfect truck for your business needs!

https://lichtenburg.udsa.co.za/trucks/

#UDTrucks #Lichtenburg #TrucksSA #TruckSale",https://lichtenburg.udsa.co.za/contact-us/,Static,,,,,Quintin
"Facebook
Instagram
LinkedIn",20762,"Wed, 18 March",15:00,Quon,"Improved driveability and safety with the UD Trucks Quon upgrades.
Get a Quote Today
https://lichtenburg.udsa.co.za/contact-us/

#UDTrucks #Quon #Upgrades #FleetManagement",https://lichtenburg.udsa.co.za/contact-us/,Static,,,,vid 3,Quintin
"Facebook
Instagram
LinkedIn",20762,"Thu, 19 March",15:00,Quon,"Driving greater productivity and efficiency for your business.
Contact UD Trucks Lichtenburg today
https://lichtenburg.udsa.co.za/contact-us/

#UDTrucks #Quon #Upgrades #FleetManagement",https://lichtenburg.udsa.co.za/contact-us/,Static,,,,vid 4,Quintin
"Facebook
Instagram
LinkedIn",20762,"Fri, 20 March",15:00,Quon,"Get a Quote at UD Trucks Lichtenburg today
https://lichtenburg.udsa.co.za/contact-us/

#UDTrucks #Quon #Upgrades #FleetManagement",https://lichtenburg.udsa.co.za/contact-us/,Static,,,,vid 5,Quintin
"Facebook
Instagram
LinkedIn",20762,"Sat, 21 March",10:00,Human Rights Day,"We live our values. 
We deliver with accountability, build trusting relationships, and pursue excellence in everything we do. Guided by integrity and respect, we work together as one team—keeping everything simple, clear, and focused.

Experience the difference today – visit UD Trucks Lichtenburg!
https://lichtenburg.udsa.co.za/services/",https://lichtenburg.udsa.co.za/contact-us/,Static,"Integrity, 
ownership, 
trust, 
excellence, 
respect, 
teamwork, 
clarity 

Experience the difference at UD Trucks Lichtenburg!","Tue, 10 March",,,Quintin
